Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?
wealth_certificate_deposit_bonds_months,phenx_wealth,,dropdown,During which months of [PYEAR] did you get this income? Select all that apply.,"UNDEFINED_CODE, January|UNDEFINED_CODE_1, February|UNDEFINED_CODE_2, March|UNDEFINED_CODE_3, April|UNDEFINED_CODE_4, May|UNDEFINED_CODE_5, June|UNDEFINED_CODE_6, July|UNDEFINED_CODE_7, August|UNDEFINED_CODE_8, September|UNDEFINED_CODE_9, October|UNDEFINED_CODE_10, November|UNDEFINED_CODE_11, December|UNDEFINED_CODE_12, All",PX280501,,,,,[wealth_certificate_deposit_bonds_interest_value]='UNDEFINED_CODE_2',,,,,
wealth_life_insurance_collections_trusts,phenx_wealth,"LIFE INSURANCE, COLLECTIONS, TRUSTS, ESTATES",radio,"Do you (or anyone in your family living there) have any other savings or assets, such as cash value in a life insurance policy, a valuable collection for investment purposes, or rights in a trust or estate that you haven't already told us about?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No",PX280501,,,,,,,,,,
wealth_life_insurance_collections_trusts_value,phenx_wealth,,text,"If you sold that and paid off any debts on it, how much would you have?",,PX280501,number,,,,[wealth_life_insurance_collections_trusts]='UNDEFINED_CODE',,,,,
wealth_life_insurance_collections_trusts_value_enumerated,phenx_wealth,,radio,"If you sold that and paid off any debts on it, how much would you have? Don't know/Refused","UNDEFINED_CODE, Don't know/Refused",PX280501,,,,,[wealth_life_insurance_collections_trusts]='UNDEFINED_CODE',,,,,
wealth_life_insurance_collections_trusts_value_10,phenx_wealth,,radio,"Would it amount to $10,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_life_insurance_collections_trusts_value_enumerated]='UNDEFINED_CODE',,,,,
wealth_life_insurance_collections_trusts_value_25,phenx_wealth,,radio,"Would it amount to $25,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_life_insurance_collections_trusts_value_10]='UNDEFINED_CODE',,,,,
wealth_life_insurance_collections_trusts_value_2,phenx_wealth,,radio,"Would it amount to $2,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_life_insurance_collections_trusts_value_10]='UNDEFINED_CODE_1',,,,,
wealth_credit_card_debt,phenx_wealth,CREDIT CARD DEBTS,radio,"Aside from the debts that we have already talked about, like any mortgage on your main home or vehicle loans, do you (or anyone in your family living there) currently have any credit card or store card debt? Do not count new debt that will be paid off this month.","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No",PX280501,,,,,,,,,,
wealth_credit_card_debt_value,phenx_wealth,,text,"If you added up all credit card and store card debts (for all of your family living there), about how much would they amount to right now? (Please do not count any new debt that will be paid off this month.)",,PX280501,number,,,,[wealth_credit_card_debt]='UNDEFINED_CODE',,,,,
wealth_credit_card_debt_value_enumerated,phenx_wealth,,radio,"If you added up all credit card and store card debts (for all of your family living there), about how much would they amount to right now? (Please do not count any new debt that will be paid off this month.) Don't know/Refused","UNDEFINED_CODE, Don't know/Refused",PX280501,,,,,[wealth_credit_card_debt]='UNDEFINED_CODE',,,,,
wealth_credit_card_debt_value_5,phenx_wealth,,radio,"Would it amount to $5,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_credit_card_debt_value_enumerated]='UNDEFINED_CODE',,,,,
wealth_credit_card_debt_value_10,phenx_wealth,,radio,"Would it amount to $10,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_credit_card_debt_value_5]='UNDEFINED_CODE',,,,,
wealth_credit_card_debt_value_15,phenx_wealth,,radio,"Would it amount to $15,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_credit_card_debt_value_10]='UNDEFINED_CODE',,,,,
wealth_credit_card_debt_value_1,phenx_wealth,,radio,"Would it amount to $1,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_credit_card_debt_value_5]='UNDEFINED_CODE_1',,,,,
wealth_student_loans_medical_legal_bills,phenx_wealth,"DEBT FROM STUDENT LOANS, MEDICAL AND LEGAL BILLS, LOANS FROM RELATIVES",radio,"Do you (or anyone in your family living there) currently have any other debts such as student loans, medical or legal bills, or loans from relatives? (INCLUDE unpaid balance(s), or student loans that are outstanding.)","UNDEFINED_CODE, Student loans|UNDEFINED_CODE_1, Medical bills|UNDEFINED_CODE_2, Legal bills|UNDEFINED_CODE_3, Loans from relatives|UNDEFINED_CODE_4, Other|UNDEFINED_CODE_5, No|UNDEFINED_CODE_6, Don't know/Refused",PX280501,,,,,,,,,,
wealth_student_loans_medical_legal_bills_enumerated,phenx_wealth,,text,"Do you (or anyone in your family living there) currently have any other debts such as student loans, medical or legal bills, or loans from relatives? (INCLUDE unpaid balance(s), or student loans that are outstanding.) Other, specify:",,PX280501,,,,,[wealth_student_loans_medical_legal_bills]='UNDEFINED_CODE_4',,,,,
wealth_student_loans,phenx_wealth,,text,"If you added up all student loans [for all of your family living there], about how much would they amount to right now?",,PX280501,number,,,,,,,,,
wealth_student_loans_enumerated,phenx_wealth,,radio,"If you added up all student loans [for all of your family living there], about how much would they amount to right now? Don't know/Refused","UNDEFINED_CODE, Don't know/Refused",PX280501,,,,,,,,,,
wealth_student_loans_value_25,phenx_wealth,,radio,"Would it amount to $25,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_student_loans_enumerated]='UNDEFINED_CODE',,,,,
wealth_student_loans_value_50,phenx_wealth,,radio,"Would it amount to $50,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_student_loans_value_25]='UNDEFINED_CODE',,,,,
wealth_student_loans_value_75,phenx_wealth,,radio,"Would it amount to $75,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_student_loans_value_50]='UNDEFINED_CODE',,,,,
wealth_student_loans_value_10,phenx_wealth,,radio,"Would it amount to $10,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_student_loans_value_25]='UNDEFINED_CODE_1',,,,,
wealth_medical_bills,phenx_wealth,,text,"If you added up all medical bills (for all of your family living there), about how much would they amount to right now?",,PX280501,number,,,,,,,,,
wealth_medical_bills_enumerated,phenx_wealth,,radio,"If you added up all medical bills (for all of your family living there), about how much would they amount to right now? Don't know/Refused","UNDEFINED_CODE, Don't know/Refused",PX280501,,,,,,,,,,
wealth_medical_bills_value_3,phenx_wealth,,radio,"Would they amount to $3,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_medical_bills_enumerated]='UNDEFINED_CODE',,,,,
wealth_medical_bills_value_10,phenx_wealth,,radio,"Would they amount to $10,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_medical_bills_value_3]='UNDEFINED_CODE',,,,,
wealth_medical_bills_value_25,phenx_wealth,,radio,"Would they amount to $25,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_medical_bills_value_10]='UNDEFINED_CODE',,,,,
wealth_medical_bills_value_1,phenx_wealth,,radio,"Would they amount to $1,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_medical_bills_value_3]='UNDEFINED_CODE_1',,,,,
wealth_legal_bills,phenx_wealth,,text,"If you added up all legal bills (for all of your family living there), about how much would they amount to right now]?",,PX280501,number,,,,,,,,,
wealth_legal_bills_enumerated,phenx_wealth,,radio,"If you added up all legal bills (for all of your family living there), about how much would they amount to right now]? Don't know/Refused","UNDEFINED_CODE, Don't know/Refused",PX280501,,,,,,,,,,
wealth_legal_bills_value_3,phenx_wealth,,radio,"Would they amount to $3,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_legal_bills_enumerated]='UNDEFINED_CODE',,,,,
wealth_legal_bills_value_8,phenx_wealth,,radio,"Would they amount to $8,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_legal_bills_value_3]='UNDEFINED_CODE',,,,,
wealth_legal_bills_value_20,phenx_wealth,,radio,"Would they amount to $20,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_legal_bills_value_8]='UNDEFINED_CODE',,,,,
wealth_legal_bills_value_1,phenx_wealth,,radio,"Would they amount to $1,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_legal_bills_value_3]='UNDEFINED_CODE_1',,,,,
wealth_family_loans,phenx_wealth,,text,"If you added up all loans from relatives (for all of your family living there), about how much would they amount to right now?",,PX280501,number,,,,,,,,,
wealth_family_loans_enumerated,phenx_wealth,,radio,"If you added up all loans from relatives (for all of your family living there), about how much would they amount to right now? Don't know/Refused","UNDEFINED_CODE, Don't know/Refused",PX280501,,,,,,,,,,
wealth_family_loans_value_4,phenx_wealth,,radio,"Would they amount to $4,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_family_loans_enumerated]='UNDEFINED_CODE',,,,,
wealth_family_loans_value_10,phenx_wealth,,radio,"Would they amount to $10,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_family_loans_value_4]='UNDEFINED_CODE',,,,,
wealth_family_loans_value_20,phenx_wealth,,radio,"Would they amount to $20,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_family_loans_value_10]='UNDEFINED_CODE',,,,,
wealth_family_loans_value_1,phenx_wealth,,radio,"Would they amount to $1,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_family_loans_value_4]='UNDEFINED_CODE_1',,,,,
wealth_other_debts_specify,phenx_wealth,,text,What were those other debts? Specify:,,PX280501,,,,,,,,,,
wealth_other_debts,phenx_wealth,,text,"If you added up all other debts (for all of your family living there), about how much would they amount to right now?",,PX280501,number,,,,,,,,,
wealth_other_debts_enumerated,phenx_wealth,,radio,"If you added up all other debts (for all of your family living there), about how much would they amount to right now? Don't know/Refused","UNDEFINED_CODE, Don't know/Refused",PX280501,,,,,,,,,,
wealth_other_debts_value_4,phenx_wealth,,radio,"Would they amount to $4,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_other_debts_enumerated]='UNDEFINED_CODE',,,,,
wealth_other_debts_value_10,phenx_wealth,,radio,"Would they amount to $10,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_other_debts_value_4]='UNDEFINED_CODE',,,,,
wealth_other_debts_value_20,phenx_wealth,,radio,"Would they amount to $20,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_other_debts_value_10]='UNDEFINED_CODE',,,,,
wealth_other_debts_value_1,phenx_wealth,,radio,"Would they amount to $1,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_other_debts_value_4]='UNDEFINED_CODE_1',,,,,
wealth_annuity_ira,phenx_wealth,MONEY INTO OR CASH FROM ANNUITY OR IRA,radio,"These next questions are about changes in your wealth during the last two years. Since January [P2YEAR], did you (or anyone in your family living there) put aside money in any private annuities or I.R.A.s (Individual Retirement Account)?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No",PX280501,,,,,,,,,,
wealth_annuity_ira_amount,phenx_wealth,,text,How much did that amount to?,,PX280501,number,,,,[wealth_annuity_ira]='UNDEFINED_CODE',,,,,
wealth_annuity_ira_amount_enumerated,phenx_wealth,,radio,How much did that amount to? Don't know/Refused,"UNDEFINED_CODE, Don't know/Refused",PX280501,,,,,[wealth_annuity_ira]='UNDEFINED_CODE',,,,,
wealth_annuity_ira_amount_1,phenx_wealth,,radio,"Would they amount to $1,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_annuity_ira_amount_enumerated]='UNDEFINED_CODE',,,,,
wealth_annuity_ira_amount_10,phenx_wealth,,radio,"Would they amount to $10,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_annuity_ira_amount_1]='UNDEFINED_CODE',,,,,
wealth_annuity_ira_amount_50,phenx_wealth,,radio,"Would they amount to $50,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_annuity_ira_amount_10]='UNDEFINED_CODE',,,,,
wealth_annuity_ira_amount_5,phenx_wealth,,radio,"Would they amount to $5,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_annuity_ira_amount_10]='UNDEFINED_CODE_1',,,,,
wealth_annuity_ira_cash,phenx_wealth,,radio,"Since January [P2YEAR], did you (or anyone in your family living there) cash in any part of a pension, private annuity or I.R.A. (Individual Retirement Account)?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No",PX280501,,,,,[wealth_annuity_ira]='UNDEFINED_CODE_1' OR [wealth_annuity_ira_amount_10]='UNDEFINED_CODE_2',,,,,
wealth_annuity_ira_cash_amount,phenx_wealth,,text,How much did that amount to?,,PX280501,number,,,,[wealth_annuity_ira_cash]='UNDEFINED_CODE',,,,,
wealth_annuity_ira_cash_amount_enumerated,phenx_wealth,,radio,How much did that amount to? Don't know/Refused,"UNDEFINED_CODE, Don't know/Refused",PX280501,,,,,[wealth_annuity_ira_cash]='UNDEFINED_CODE',,,,,
wealth_annuity_ira_cash_amount_10,phenx_wealth,,radio,"Was it $10,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_annuity_ira_cash_amount_enumerated]='UNDEFINED_CODE',,,,,
wealth_annuity_ira_cash_amount_50,phenx_wealth,,radio,"Was it $50,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_annuity_ira_cash_amount_10]='UNDEFINED_CODE',,,,,
wealth_annuity_ira_cash_amount_100,phenx_wealth,,radio,"Was it $100,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_annuity_ira_cash_amount_50]='UNDEFINED_CODE',,,,,
wealth_annuity_ira_cash_amount_5,phenx_wealth,,radio,"Was it $5,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_annuity_ira_cash_amount_10]='UNDEFINED_CODE_1',,,,,
wealth_buy_sell_real_estate_sales,phenx_wealth,BUY OR SELL REAL ESTATE,radio,"Since January [P2YEAR], did you (or anyone in your family living there) sell any home you were using as your main residence?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No",PX280501,,,,,,,,,,
wealth_buy_sell_real_estate_sales_price,phenx_wealth,,text,"About how much was the selling price, not including selling commissions and costs? (If R sold more than one main home, ask about the one owned in January, [P2YEAR])",,PX280501,number,,,,[wealth_buy_sell_real_estate_sales]='UNDEFINED_CODE',,,,,
wealth_buy_sell_real_estate_sales_price_enumerated,phenx_wealth,,radio,"About how much was the selling price, not including selling commissions and costs? (If R sold more than one main home, ask about the one owned in January, [P2YEAR]) Don't know/Refused","UNDEFINED_CODE, Don't know/Refused",PX280501,,,,,[wealth_buy_sell_real_estate_sales]='UNDEFINED_CODE',,,,,
wealth_buy_sell_real_estate_sales_price_60,phenx_wealth,,radio,"Was it $60,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_buy_sell_real_estate_sales_price_enumerated]='UNDEFINED_CODE',,,,,
wealth_buy_sell_real_estate_sales_price_120,phenx_wealth,,radio,"Was it $120,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_buy_sell_real_estate_sales_price_60]='UNDEFINED_CODE',,,,,
wealth_buy_sell_real_estate_sales_price_30,phenx_wealth,,radio,"Was it $30,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_buy_sell_real_estate_sales_price_60]='UNDEFINED_CODE_1',,,,,
wealth_buy_sell_real_estate_purchase_price,phenx_wealth,,radio,"Since January [P2YEAR], did you (or anyone in your family living there) buy or sell any real estate other than your main home, such as a vacation home, land (not including farmland), or rental property? • If R says only ""Yes"", PROBE: Did you buy only, sell only, or both?","UNDEFINED_CODE, Yes, bought only|UNDEFINED_CODE_1, Yes, sold only|UNDEFINED_CODE_2, Yes, both bought and sold|UNDEFINED_CODE_3, No, neither|UNDEFINED_CODE_4, Don't know/Refused",PX280501,,,,,,,,,,
wealth_buy_sell_real_estate_purchase_price_amount,phenx_wealth,,text,"Altogether, how much money did you (or anyone in your family living there] spend on any real estate other than your main home, such as a vacation home, land (not including farmland), or rental property since January [P2YEAR]? ",,PX280501,number,,,,[wealth_buy_sell_real_estate_purchase_price]='UNDEFINED_CODE' OR [wealth_buy_sell_real_estate_purchase_price]='UNDEFINED_CODE_2',,,,,
wealth_buy_sell_real_estate_purchase_price_amount_enumerated,phenx_wealth,,radio,"Altogether, how much money did you (or anyone in your family living there] spend on any real estate other than your main home, such as a vacation home, land (not including farmland), or rental property since January [P2YEAR]?  Don't know/Refused","UNDEFINED_CODE, Don't know/Refused",PX280501,,,,,[wealth_buy_sell_real_estate_purchase_price]='UNDEFINED_CODE' OR [wealth_buy_sell_real_estate_purchase_price]='UNDEFINED_CODE_2',,,,,
wealth_buy_sell_real_estate_purchase_price_amount_60,phenx_wealth,,radio,"Was it $60,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_buy_sell_real_estate_purchase_price_amount_enumerated]='UNDEFINED_CODE',,,,,
wealth_buy_sell_real_estate_purchase_price_amount_120,phenx_wealth,,radio,"Was it $120,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_buy_sell_real_estate_purchase_price_amount_60]='UNDEFINED_CODE',,,,,
wealth_buy_sell_real_estate_purchase_price_amount_30,phenx_wealth,,radio,"Was it $30,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_buy_sell_real_estate_purchase_price_amount_60]='UNDEFINED_CODE_1',,,,,
wealth_buy_sell_real_estate_sale_proceeds_amount,phenx_wealth,,text,"Altogether, how much money did you (or anyone in your family living there] get from selling any real estate other than your main home, such as a vacation home, land (not including farmland), or rental property since January [P2YEAR]? ",,PX280501,number,,,,[wealth_buy_sell_real_estate_purchase_price]='UNDEFINED_CODE_1' OR [wealth_buy_sell_real_estate_purchase_price]='UNDEFINED_CODE_2',,,,,
wealth_buy_sell_real_estate_sale_proceeds_amount_enumerated,phenx_wealth,,radio,"Altogether, how much money did you (or anyone in your family living there] get from selling any real estate other than your main home, such as a vacation home, land (not including farmland), or rental property since January [P2YEAR]?  Don't know/Refused","UNDEFINED_CODE, Don't know/Refused",PX280501,,,,,[wealth_buy_sell_real_estate_purchase_price]='UNDEFINED_CODE_1' OR [wealth_buy_sell_real_estate_purchase_price]='UNDEFINED_CODE_2',,,,,
wealth_buy_sell_real_estate_sale_proceeds_amount_60,phenx_wealth,,radio,"Was it $60,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_buy_sell_real_estate_sale_proceeds_amount_enumerated]='UNDEFINED_CODE',,,,,
wealth_buy_sell_real_estate_sale_proceeds_amount_120,phenx_wealth,,radio,"Was it $120,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_buy_sell_real_estate_sale_proceeds_amount_60]='UNDEFINED_CODE',,,,,
wealth_buy_sell_real_estate_sale_proceeds_amount_30,phenx_wealth,,radio,"Was it $30,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_buy_sell_real_estate_sale_proceeds_amount_60]='UNDEFINED_CODE_1',,,,,
wealth_home_improvements,phenx_wealth,HOME IMPROVEMENTS,radio,"Since January [P2YEAR], did you (or anyone in your family living there) make additions or improvements totaling $10,000 or more to any homes or other real estate you owned? Do not count general maintenance or upkeep.","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No",PX280501,,,,,,,,,,
wealth_home_improvements_amount,phenx_wealth,,text,"What was the total dollar cost of the additions or improvements, plus the value of any work you may have done yourself?",,PX280501,number,,,,[wealth_home_improvements]='UNDEFINED_CODE',,,,,
wealth_home_improvements_amount_enumerated,phenx_wealth,,radio,"What was the total dollar cost of the additions or improvements, plus the value of any work you may have done yourself? Don't know/Refused","UNDEFINED_CODE, Don't know/Refused",PX280501,,,,,[wealth_home_improvements]='UNDEFINED_CODE',,,,,
wealth_home_improvements_amount_25,phenx_wealth,,radio,"Was it $25,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_home_improvements_amount_enumerated]='UNDEFINED_CODE',,,,,
wealth_home_improvements_amount_75,phenx_wealth,,radio,"Was it $75,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_home_improvements_amount_25]='UNDEFINED_CODE',,,,,
wealth_buy_sell_business_farm,phenx_wealth,BUY OR SELL BUSINESS OR FARM,radio,"Since January [P2YEAR], did you (or anyone in your family living there) put money into or sell part or all of your interest in a business or farm? • If R says only ""Yes"", PROBE: Did you put money in only, sell only, or both?","UNDEFINED_CODE, Yes, put money in only|UNDEFINED_CODE_1, Yes, sold only|UNDEFINED_CODE_2, Yes, both put money in and sold|UNDEFINED_CODE_3, No, neither|UNDEFINED_CODE_4, Don't know/refused",PX280501,,,,,,,,,,
wealth_buy_sell_business_farm_amount,phenx_wealth,,text,"Altogether, how much money did you [or anyone in your family living there] put into a business or farm (since January [P2YEAR])?",,PX280501,number,,,,[wealth_buy_sell_business_farm]='UNDEFINED_CODE' OR [wealth_buy_sell_business_farm]='UNDEFINED_CODE_2',,,,,
wealth_buy_sell_business_farm_amount_enumerated,phenx_wealth,,radio,"Altogether, how much money did you [or anyone in your family living there] put into a business or farm (since January [P2YEAR])? Don't know/Refused","UNDEFINED_CODE, Don't know/Refused",PX280501,,,,,[wealth_buy_sell_business_farm]='UNDEFINED_CODE' OR [wealth_buy_sell_business_farm]='UNDEFINED_CODE_2',,,,,
wealth_buy_sell_business_farm_amount_25,phenx_wealth,,radio,"Was it $25,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_buy_sell_business_farm_amount_enumerated]='UNDEFINED_CODE',,,,,
wealth_buy_sell_business_farm_amount_100,phenx_wealth,,radio,"Was it $100,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_buy_sell_business_farm_amount_25]='UNDEFINED_CODE',,,,,
wealth_buy_sell_business_farm_amount_10,phenx_wealth,,radio,"Was it $10,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_buy_sell_business_farm_amount_25]='UNDEFINED_CODE_1',,,,,
wealth_buy_sell_business_farm_proceeds_amount,phenx_wealth,,text,"Altogether, how much money did you [or anyone in your family living there] get from selling a business or farm (since January [P2YEAR])?",,PX280501,number,,,,[wealth_buy_sell_business_farm]='UNDEFINED_CODE_1' OR [wealth_buy_sell_business_farm]='UNDEFINED_CODE_2',,,,,
wealth_buy_sell_business_farm_proceeds_amount_enumerated,phenx_wealth,,radio,"Altogether, how much money did you [or anyone in your family living there] get from selling a business or farm (since January [P2YEAR])? Don't know/Refused","UNDEFINED_CODE, Don't know/Refused",PX280501,,,,,[wealth_buy_sell_business_farm]='UNDEFINED_CODE_1' OR [wealth_buy_sell_business_farm]='UNDEFINED_CODE_2',,,,,
wealth_buy_sell_business_farm_proceeds_amount_25,phenx_wealth,,radio,"Was it $25,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_buy_sell_business_farm_proceeds_amount_enumerated]='UNDEFINED_CODE',,,,,
wealth_buy_sell_business_farm_proceeds_amount_100,phenx_wealth,,radio,"Was it $100,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_buy_sell_business_farm_proceeds_amount_25]='UNDEFINED_CODE',,,,,
wealth_buy_sell_business_farm_proceeds_amount_10,phenx_wealth,,radio,"Was it $10,000 or more?","UNDEFINED_CODE, Yes|UNDEFINED_CODE_1, No|UNDEFINED_CODE_2, Don't know/Refused",PX280501,,,,,[wealth_buy_sell_business_farm_proceeds_amount_25]='UNDEFINED_CODE_1',,,,,
